correction,record_id,title,known_gold,state_changed,before_score,after_score,score_delta,before_rank,after_rank,rank_improvement,before_state,after_state
relationships,BC001-B0B35BEEEF90,Firearm automatic locking system and method,False,True,15.6,10.0,-5.6,240,558,-318,"{""rank"": 240, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 558, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-BBEBA5A7478B,Automatic gun cabinet opens door,False,True,15.6,10.0,-5.6,241,571,-330,"{""rank"": 241, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 571, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-D100FEBA4B70,Recognition equipment of Laser and Gun Percussion signal for Simulation Shooting equipment,False,True,15.6,10.0,-5.6,242,587,-345,"{""rank"": 242, ""score"": 15.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}","{""rank"": 587, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
relationships,BC001-1C21483778C8,Device and method for an electronic tag game,False,True,13.6,8.0,-5.6,375,626,-251,"{""rank"": 375, ""score"": 13.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}","{""rank"": 626, ""score"": 8.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
mechanism,BC001-11EE61D254C5,Firearm authentication and tracking system,True,True,22.6,30.6,8.0,89,48,41,"{""rank"": 89, ""score"": 22.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""I""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 48, ""score"": 30.6, ""features"": {""F2"": ""A"", ""F3"": ""I"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""I""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-8D96485A81C2,"Magazine based, firearm safety apparatus for modifying existing firearms employing a digital, close proximity communications system and a low power electro-permanent magnet interlock system",False,True,21.5,29.5,8.0,140,51,89,"{""rank"": 140, ""score"": 21.5, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 51, ""score"": 29.5, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""I"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-87916D7FFA87,Identification control of firearm,False,True,18.0,26.0,8.0,206,65,141,"{""rank"": 206, ""score"": 18.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 65, ""score"": 26.0, ""features"": {""F2"": ""A"", ""F3"": ""E"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-39D05D566610,Tunnel guide rail advancing fire-fighting robot system and using method,False,True,12.0,20.0,8.0,375,156,219,"{""rank"": 375, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 156, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-3F962EC9B647,Firearm monitoring device and system,False,True,12.0,20.0,8.0,376,158,218,"{""rank"": 376, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 158, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-42EFC7816951,Guns Management System,False,True,12.0,15.0,3.0,377,235,142,"{""rank"": 377, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""E""}, ""flags"": [""generic_without_mechanism"", ""storage_only""], ""domain"": ""incidental_or_ambiguous""}","{""rank"": 235, ""score"": 15.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""E""}, ""flags"": [""storage_only""], ""domain"": ""incidental_or_ambiguous""}"
mechanism,BC001-A54798DC3729,System and method for determining the source location of a firearm discharge,False,True,12.0,20.0,8.0,379,187,192,"{""rank"": 379, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 187, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-C174B5D42C13,A device for monitoring firearms use,False,True,12.0,20.0,8.0,381,195,186,"{""rank"": 381, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 195, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-CBEC245EB035,Firearm monitoring management system,False,True,12.0,20.0,8.0,382,199,183,"{""rank"": 382, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""E""}, ""flags"": [""generic_without_mechanism"", ""holster_only""], ""domain"": ""incidental_or_ambiguous""}","{""rank"": 199, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""E""}, ""flags"": [""holster_only""], ""domain"": ""incidental_or_ambiguous""}"
mechanism,BC001-F2BCE3878C3E,Smart gun technology,False,True,12.0,20.0,8.0,385,207,178,"{""rank"": 385, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 207, ""score"": 20.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-F9425593B165,Gun and bullet getting and returning and vein self-service authentication management system,False,True,10.0,15.0,5.0,388,252,136,"{""rank"": 388, ""score"": 10.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism"", ""storage_only""], ""domain"": ""incidental_or_ambiguous""}","{""rank"": 252, ""score"": 15.0, ""features"": {""F2"": ""E"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""storage_only""], ""domain"": ""incidental_or_ambiguous""}"
mechanism,BC001-EFCB30D1D0C7,"Firearm access management method and device, firearm access management cabinet and storage medium",False,True,8.0,15.0,7.0,624,247,377,"{""rank"": 624, ""score"": 8.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""C""}, ""flags"": [""generic_without_mechanism"", ""storage_only""], ""domain"": ""incidental_or_ambiguous""}","{""rank"": 247, ""score"": 15.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""E"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""C""}, ""flags"": [""storage_only""], ""domain"": ""incidental_or_ambiguous""}"
mechanism,BC001-32E8EEF9C141,Unlocking system for gun safety management,False,True,6.0,14.0,8.0,666,340,326,"{""rank"": 666, ""score"": 6.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 340, ""score"": 14.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-9BD7CB5E038A,System and methods for firearm safety enhancement,False,True,6.0,14.0,8.0,669,351,318,"{""rank"": 669, ""score"": 6.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 351, ""score"": 14.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-14F77AD5FAA9,"CPU (Central Processing Unit) high-temperature automatic test method, device, equipment and medium",False,True,4.0,12.0,8.0,675,390,285,"{""rank"": 675, ""score"": 4.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""attached_firing_control""}","{""rank"": 390, ""score"": 12.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""E"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""attached_firing_control""}"
mechanism,BC001-21D18C74A482,Gun handover information processing method and device,False,True,2.0,10.0,8.0,943,414,529,"{""rank"": 943, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 414, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-3AFC986C5263,Firearm safety,False,True,2.0,10.0,8.0,950,440,510,"{""rank"": 950, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 440, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-63B733DD3A06,Firearm safety catch,False,True,2.0,10.0,8.0,951,480,471,"{""rank"": 951, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 480, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-64033FB40FA5,"Security system of individual weapon based on rfid, and operating method of the same",False,True,2.0,10.0,8.0,952,482,470,"{""rank"": 952, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 482, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-77FC42D1D2BB,Safety protection lock for pistol trigger and multifunctional pistol storage support,False,True,2.0,10.0,8.0,954,503,451,"{""rank"": 954, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 503, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-8FB3F64F6E1D,Firearm with User Authentication to Remove or Add Components,False,True,2.0,10.0,8.0,960,530,430,"{""rank"": 960, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 530, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-95B624328804,Near-field magnetic induction-based oil-gas well cableless perforation detonation system and method thereof,False,True,2.0,10.0,8.0,961,538,423,"{""rank"": 961, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 538, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-9CEC02DE164E,System for controlling launch of guided weapon,False,True,2.0,10.0,8.0,962,545,417,"{""rank"": 962, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 545, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-AE8CFC836842,Method of operational control of alignment of zero aiming line of artillery guns,False,True,2.0,10.0,8.0,964,567,397,"{""rank"": 964, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 567, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-C270F1A948A6,Safety device preventing unauthorized use of firearm locked in barrel of firearm and released only upon verification of user authorization,False,True,2.0,10.0,8.0,966,589,377,"{""rank"": 966, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 589, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-D18500D8C86F,Smart-gun enablement device systems and methods,False,True,2.0,10.0,8.0,967,603,364,"{""rank"": 967, ""score"": 2.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""firearm""}","{""rank"": 603, ""score"": 10.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""firearm""}"
mechanism,BC001-01FD052954C1,Equipment management method and device based on block chain and computer equipment,False,True,0.0,0.0,0.0,2893,1020,1873,"{""rank"": 2893, ""score"": 0.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [""generic_without_mechanism""], ""domain"": ""wrong_domain""}","{""rank"": 1020, ""score"": 0.0, ""features"": {""F2"": ""A"", ""F3"": ""A"", ""F4"": ""A"", ""F5"": ""A"", ""F6"": ""A"", ""F7"": ""A"", ""F8"": ""A""}, ""relationships"": {""F2_to_F3"": ""A"", ""F4_to_F3"": ""A"", ""F5_to_F6"": ""A""}, ""flags"": [], ""domain"": ""wrong_domain""}"
